id,number,name,types,H,A,B,C,D,S,total,images,ability,s_ability,nameKo,grade,prevEvolutions,nextEvolutions,note
6986,275,shiftry,"[""악"",""풀""]",90,100,60,90,60,80,480,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png"",""https://play.pokemonshowdown.com/sprites/ani/shiftry.gif""]","[""엽록소"",""바람타기""]","[""나쁜손버릇""]",다탱구,,"[""잎새코""]",[],
6987,276,taillow,"[""노말"",""비행""]",40,55,30,30,30,85,270,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png"",""https://play.pokemonshowdown.com/sprites/ani/taillow.gif""]","[""근성""]","[""배짱""]",테일로,,[],"[""스왈로""]",
6988,277,swellow,"[""노말"",""비행""]",60,85,60,75,50,125,455,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png"",""https://play.pokemonshowdown.com/sprites/ani/swellow.gif""]","[""근성""]","[""배짱""]",스왈로,,"[""테일로""]",[],
6989,278,wingull,"[""물"",""비행""]",40,30,30,55,30,85,270,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png"",""https://play.pokemonshowdown.com/sprites/ani/wingull.gif""]","[""날카로운눈"",""촉촉바디""]","[""젖은접시""]",갈모매,,[],"[""패리퍼""]",
6990,279,pelipper,"[""물"",""비행""]",60,50,100,95,70,65,440,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png"",""https://play.pokemonshowdown.com/sprites/ani/pelipper.gif""]","[""날카로운눈"",""잔비""]","[""젖은접시""]",패리퍼,,"[""갈모매""]",[],
6991,280,ralts,"[""에스퍼"",""페어리""]",28,25,25,45,35,40,198,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png"",""https://play.pokemonshowdown.com/sprites/ani/ralts.gif""]","[""싱크로"",""트레이스""]","[""텔레파시""]",랄토스,,[],"[""킬리아""]",
6992,281,kirlia,"[""에스퍼"",""페어리""]",38,35,35,65,55,50,278,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png"",""https://play.pokemonshowdown.com/sprites/ani/kirlia.gif""]","[""싱크로"",""트레이스""]","[""텔레파시""]",킬리아,,"[""랄토스""]","[""가디안"",""엘레이드""]",
6993,282,gardevoir,"[""에스퍼"",""페어리""]",68,65,65,125,115,80,518,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png"",""https://play.pokemonshowdown.com/sprites/ani/gardevoir.gif""]","[""싱크로"",""트레이스""]","[""텔레파시""]",가디안,,"[""킬리아""]","[""메가 가디안""]",
6994,283,surskit,"[""물"",""벌레""]",40,30,32,50,52,65,269,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png"",""https://play.pokemonshowdown.com/sprites/ani/surskit.gif""]","[""쓱쓱""]","[""젖은접시""]",비구술,,[],"[""비나방""]",
6995,284,masquerain,"[""벌레"",""비행""]",70,60,62,100,82,80,454,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png"",""https://play.pokemonshowdown.com/sprites/ani/masquerain.gif""]","[""위협""]","[""긴장감""]",비나방,,"[""비구술""]",[],
6996,285,shroomish,"[""풀""]",60,40,60,40,60,35,295,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png"",""https://play.pokemonshowdown.com/sprites/ani/shroomish.gif""]","[""포자"",""포이즌힐""]","[""속보""]",버섯꼬,,[],"[""버섯모""]",
6997,286,breloom,"[""격투"",""풀""]",60,130,80,60,60,70,460,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png"",""https://play.pokemonshowdown.com/sprites/ani/breloom.gif""]","[""포자"",""포이즌힐""]","[""테크니션""]",버섯모,,"[""버섯꼬""]",[],
6998,287,slakoth,"[""노말""]",60,60,60,35,35,30,280,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png"",""https://play.pokemonshowdown.com/sprites/ani/slakoth.gif""]","[""게으름""]",[],게을로,,[],"[""발바로""]",
6999,288,vigoroth,"[""노말""]",80,80,80,55,55,90,440,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png"",""https://play.pokemonshowdown.com/sprites/ani/vigoroth.gif""]","[""의기양양""]",[],발바로,,"[""게을로""]","[""게을킹""]",
7000,289,slaking,"[""노말""]",150,160,100,95,65,100,670,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png"",""https://play.pokemonshowdown.com/sprites/ani/slaking.gif""]","[""게으름""]",[],게을킹,,"[""발바로""]",[],
7001,290,nincada,"[""땅"",""벌레""]",31,45,90,30,30,40,266,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png"",""https://play.pokemonshowdown.com/sprites/ani/nincada.gif""]","[""복안""]","[""도주""]",토중몬,,[],"[""아이스크"",""껍질몬""]",
7002,291,ninjask,"[""벌레"",""비행""]",61,90,45,50,50,160,456,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png"",""https://play.pokemonshowdown.com/sprites/ani/ninjask.gif""]","[""가속""]","[""틈새포착""]",아이스크,,"[""토중몬""]",[],
7003,292,shedinja,"[""고스트"",""벌레""]",1,90,45,30,30,40,236,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png"",""https://play.pokemonshowdown.com/sprites/ani/shedinja.gif""]","[""불가사의부적""]",[],껍질몬,,"[""토중몬""]",[],
7004,293,whismur,"[""노말""]",64,51,23,51,23,28,240,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png"",""https://play.pokemonshowdown.com/sprites/ani/whismur.gif""]","[""방음""]","[""주눅""]",소곤룡,,[],"[""노공룡""]",
7005,294,loudred,"[""노말""]",84,71,43,71,43,48,360,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png"",""https://play.pokemonshowdown.com/sprites/ani/loudred.gif""]","[""방음""]","[""배짱""]",노공룡,,"[""소곤룡""]","[""폭음룡""]",
7006,295,exploud,"[""노말""]",104,91,63,91,73,68,490,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png"",""https://play.pokemonshowdown.com/sprites/ani/exploud.gif""]","[""방음""]","[""배짱""]",폭음룡,,"[""노공룡""]",[],
7007,296,makuhita,"[""격투""]",72,60,30,20,30,25,237,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png"",""https://play.pokemonshowdown.com/sprites/ani/makuhita.gif""]","[""두꺼운지방"",""근성""]","[""우격다짐""]",마크탕,,[],"[""하리뭉""]",
7008,297,hariyama,"[""격투""]",144,120,60,40,60,50,474,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png"",""https://play.pokemonshowdown.com/sprites/ani/hariyama.gif""]","[""두꺼운지방"",""근성""]","[""우격다짐""]",하리뭉,,"[""마크탕""]",[],
7009,298,azurill,"[""노말"",""페어리""]",50,20,40,20,40,20,190,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png"",""https://play.pokemonshowdown.com/sprites/ani/azurill.gif""]","[""두꺼운지방"",""천하장사""]","[""초식""]",루리리,,[],"[""마릴""]",
7010,299,nosepass,"[""바위""]",30,45,135,45,90,30,375,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png"",""https://play.pokemonshowdown.com/sprites/ani/nosepass.gif""]","[""옹골참"",""자력""]","[""모래의힘""]",코코파스,,[],"[""대코파스""]",
7011,300,skitty,"[""노말""]",50,45,45,35,35,50,260,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png"",""https://play.pokemonshowdown.com/sprites/ani/skitty.gif""]","[""헤롱헤롱바디"",""노말스킨""]","[""미라클스킨""]",에나비,,[],"[""델케티""]",
7012,301,delcatty,"[""노말""]",70,65,65,55,55,90,400,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png"",""https://play.pokemonshowdown.com/sprites/ani/delcatty.gif""]","[""헤롱헤롱바디"",""노말스킨""]","[""미라클스킨""]",델케티,,"[""에나비""]",[],
7013,302,sableye,"[""고스트"",""악""]",50,75,75,65,65,50,380,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png"",""https://play.pokemonshowdown.com/sprites/ani/sableye.gif""]","[""날카로운눈"",""시간벌기""]","[""짓궂은마음""]",깜까미,,[],"[""메가 깜까미""]",
7014,303,mawile,"[""강철"",""페어리""]",50,85,85,55,55,50,380,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png"",""https://play.pokemonshowdown.com/sprites/ani/mawile.gif""]","[""괴력집게"",""위협""]","[""우격다짐""]",입치트,,[],"[""메가 입치트""]",
7015,304,aron,"[""강철"",""바위""]",50,70,100,40,40,30,330,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png"",""https://play.pokemonshowdown.com/sprites/ani/aron.gif""]","[""옹골참"",""돌머리""]","[""헤비메탈""]",가보리,,[],"[""갱도라""]",
7016,305,lairon,"[""강철"",""바위""]",60,90,140,50,50,40,430,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png"",""https://play.pokemonshowdown.com/sprites/ani/lairon.gif""]","[""옹골참"",""돌머리""]","[""헤비메탈""]",갱도라,,"[""가보리""]","[""보스로라""]",
7017,306,aggron,"[""강철"",""바위""]",70,110,180,60,60,50,530,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png"",""https://play.pokemonshowdown.com/sprites/ani/aggron.gif""]","[""옹골참"",""돌머리""]","[""헤비메탈""]",보스로라,,"[""갱도라""]","[""메가 보스로라""]",
7018,307,meditite,"[""격투"",""에스퍼""]",30,40,55,40,55,60,280,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png"",""https://play.pokemonshowdown.com/sprites/ani/meditite.gif""]","[""순수한힘""]","[""텔레파시""]",요가랑,,[],"[""요가램""]",
7019,308,medicham,"[""격투"",""에스퍼""]",60,60,75,60,75,80,410,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png"",""https://play.pokemonshowdown.com/sprites/ani/medicham.gif""]","[""순수한힘""]","[""텔레파시""]",요가램,,"[""요가랑""]","[""메가 요가램""]",
7020,309,electrike,"[""전기""]",40,45,40,65,40,65,295,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png"",""https://play.pokemonshowdown.com/sprites/ani/electrike.gif""]","[""정전기"",""피뢰침""]","[""마이너스""]",썬더라이,,[],"[""썬더볼트""]",
7021,310,manectric,"[""전기""]",70,75,60,105,60,105,475,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png"",""https://play.pokemonshowdown.com/sprites/ani/manectric.gif""]","[""정전기"",""피뢰침""]","[""마이너스""]",썬더볼트,,"[""썬더라이""]","[""메가 썬더볼트""]",
7022,311,plusle,"[""전기""]",60,50,40,85,75,95,405,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/311.png"",""https://play.pokemonshowdown.com/sprites/ani/plusle.gif""]","[""플러스""]","[""피뢰침""]",플러시,,[],[],
7023,312,minun,"[""전기""]",60,40,50,75,85,95,405,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/312.png"",""https://play.pokemonshowdown.com/sprites/ani/minun.gif""]","[""마이너스""]","[""축전""]",마이농,,[],[],
7024,313,volbeat,"[""벌레""]",65,73,75,47,85,85,430,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/313.png"",""https://play.pokemonshowdown.com/sprites/ani/volbeat.gif""]","[""발광"",""벌레의알림""]","[""짓궂은마음""]",볼비트,,[],[],
7025,314,illumise,"[""벌레""]",65,47,75,73,85,85,430,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/314.png"",""https://play.pokemonshowdown.com/sprites/ani/illumise.gif""]","[""둔감"",""색안경""]","[""짓궂은마음""]",네오비트,,[],[],
7026,315,roselia,"[""독"",""풀""]",50,60,45,100,80,65,400,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/315.png"",""https://play.pokemonshowdown.com/sprites/ani/roselia.gif""]","[""자연회복"",""독가시""]","[""리프가드""]",로젤리아,,"[""꼬몽울""]","[""로즈레이드""]",
7027,316,gulpin,"[""독""]",70,43,53,43,53,40,302,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/316.png"",""https://play.pokemonshowdown.com/sprites/ani/gulpin.gif""]","[""해감액"",""점착""]","[""먹보""]",꼴깍몬,,[],"[""꿀꺽몬""]",
7028,317,swalot,"[""독""]",100,73,83,73,83,55,467,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/317.png"",""https://play.pokemonshowdown.com/sprites/ani/swalot.gif""]","[""해감액"",""점착""]","[""먹보""]",꿀꺽몬,,"[""꼴깍몬""]",[],
7029,318,carvanha,"[""물"",""악""]",45,90,20,65,20,65,305,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/318.png"",""https://play.pokemonshowdown.com/sprites/ani/carvanha.gif""]","[""까칠한피부""]","[""가속""]",샤프니아,,[],"[""샤크니아""]",
7030,319,sharpedo,"[""물"",""악""]",70,120,40,95,40,95,460,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/319.png"",""https://play.pokemonshowdown.com/sprites/ani/sharpedo.gif""]","[""까칠한피부""]","[""가속""]",샤크니아,,"[""샤프니아""]","[""메가 샤크니아""]",
7031,320,wailmer,"[""물""]",130,70,35,70,35,60,400,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/320.png"",""https://play.pokemonshowdown.com/sprites/ani/wailmer.gif""]","[""수의베일"",""둔감""]","[""프레셔""]",고래왕자,,[],"[""고래왕""]",
7032,321,wailord,"[""물""]",170,90,45,90,45,60,500,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/321.png"",""https://play.pokemonshowdown.com/sprites/ani/wailord.gif""]","[""수의베일"",""둔감""]","[""프레셔""]",고래왕,,"[""고래왕자""]",[],
7033,322,numel,"[""땅"",""불꽃""]",60,60,40,65,45,35,305,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/322.png"",""https://play.pokemonshowdown.com/sprites/ani/numel.gif""]","[""둔감"",""단순""]","[""마이페이스""]",둔타,,[],"[""폭타""]",
7034,323,camerupt,"[""땅"",""불꽃""]",70,100,70,105,75,40,460,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/323.png"",""https://play.pokemonshowdown.com/sprites/ani/camerupt.gif""]","[""마그마의무장"",""하드록""]","[""분노의경혈""]",폭타,,"[""둔타""]","[""메가 폭타""]",
7035,324,torkoal,"[""불꽃""]",70,85,140,85,70,20,470,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/324.png"",""https://play.pokemonshowdown.com/sprites/ani/torkoal.gif""]","[""하얀연기"",""가뭄""]","[""조가비갑옷""]",코터스,,[],[],
7036,325,spoink,"[""에스퍼""]",60,25,35,70,80,60,330,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/325.png"",""https://play.pokemonshowdown.com/sprites/ani/spoink.gif""]","[""두꺼운지방"",""마이페이스""]","[""먹보""]",피그점프,,[],"[""피그킹""]",
7037,326,grumpig,"[""에스퍼""]",80,45,65,90,110,80,470,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/326.png"",""https://play.pokemonshowdown.com/sprites/ani/grumpig.gif""]","[""두꺼운지방"",""마이페이스""]","[""먹보""]",피그킹,,"[""피그점프""]",[],
7038,327,spinda,"[""노말""]",60,60,60,60,60,60,360,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/327.png"",""https://play.pokemonshowdown.com/sprites/ani/spinda.gif""]","[""마이페이스"",""갈지자걸음""]","[""심술꾸러기""]",얼루기,,[],[],
7039,328,trapinch,"[""땅""]",45,100,45,45,45,10,290,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/328.png"",""https://play.pokemonshowdown.com/sprites/ani/trapinch.gif""]","[""괴력집게"",""개미지옥""]","[""우격다짐""]",톱치,,[],"[""비브라바""]",
7040,329,vibrava,"[""드래곤"",""땅""]",50,70,50,50,50,70,340,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/329.png"",""https://play.pokemonshowdown.com/sprites/ani/vibrava.gif""]","[""부유""]",[],비브라바,,"[""톱치""]","[""플라이곤""]",
7041,330,flygon,"[""드래곤"",""땅""]",80,100,80,80,80,100,520,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/330.png"",""https://play.pokemonshowdown.com/sprites/ani/flygon.gif""]","[""부유""]",[],플라이곤,,"[""비브라바""]",[],
7042,331,cacnea,"[""풀""]",50,85,40,85,40,35,335,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/331.png"",""https://play.pokemonshowdown.com/sprites/ani/cacnea.gif""]","[""모래숨기""]","[""저수""]",선인왕,,[],"[""밤선인""]",
7043,332,cacturne,"[""악"",""풀""]",70,115,60,115,60,55,475,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/332.png"",""https://play.pokemonshowdown.com/sprites/ani/cacturne.gif""]","[""모래숨기""]","[""저수""]",밤선인,,"[""선인왕""]",[],
7044,333,swablu,"[""노말"",""비행""]",45,40,60,40,75,50,310,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/333.png"",""https://play.pokemonshowdown.com/sprites/ani/swablu.gif""]","[""자연회복""]","[""날씨부정""]",파비코,,[],"[""파비코리""]",
7045,334,altaria,"[""드래곤"",""비행""]",75,70,90,70,105,80,490,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/334.png"",""https://play.pokemonshowdown.com/sprites/ani/altaria.gif""]","[""자연회복""]","[""날씨부정""]",파비코리,,"[""파비코""]","[""메가 파비코리""]",
7046,335,zangoose,"[""노말""]",73,115,60,60,60,90,458,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/335.png"",""https://play.pokemonshowdown.com/sprites/ani/zangoose.gif""]","[""면역""]","[""독폭주""]",쟝고,,[],[],
7047,336,seviper,"[""독""]",73,100,60,100,60,65,458,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/336.png"",""https://play.pokemonshowdown.com/sprites/ani/seviper.gif""]","[""탈피""]","[""틈새포착""]",세비퍼,,[],[],
7048,337,lunatone,"[""바위"",""에스퍼""]",90,55,65,95,85,70,460,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/337.png"",""https://play.pokemonshowdown.com/sprites/ani/lunatone.gif""]","[""부유""]",[],루나톤,,[],[],
7049,338,solrock,"[""바위"",""에스퍼""]",90,95,85,55,65,70,460,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/338.png"",""https://play.pokemonshowdown.com/sprites/ani/solrock.gif""]","[""부유""]",[],솔록,,[],[],
7050,339,barboach,"[""땅"",""물""]",50,48,43,46,41,60,288,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/339.png"",""https://play.pokemonshowdown.com/sprites/ani/barboach.gif""]","[""둔감"",""위험예지""]","[""촉촉바디""]",미꾸리,,[],"[""메깅""]",
7051,340,whiscash,"[""땅"",""물""]",110,78,73,76,71,60,468,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/340.png"",""https://play.pokemonshowdown.com/sprites/ani/whiscash.gif""]","[""둔감"",""위험예지""]","[""촉촉바디""]",메깅,,"[""미꾸리""]",[],
7052,341,corphish,"[""물""]",43,80,65,50,35,35,308,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/341.png"",""https://play.pokemonshowdown.com/sprites/ani/corphish.gif""]","[""괴력집게"",""조가비갑옷""]","[""적응력""]",가재군,,[],"[""가재장군""]",
7053,342,crawdaunt,"[""물"",""악""]",63,120,85,90,55,55,468,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/342.png"",""https://play.pokemonshowdown.com/sprites/ani/crawdaunt.gif""]","[""괴력집게"",""조가비갑옷""]","[""적응력""]",가재장군,,"[""가재군""]",[],
7054,343,baltoy,"[""땅"",""에스퍼""]",40,40,55,40,70,55,300,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/343.png"",""https://play.pokemonshowdown.com/sprites/ani/baltoy.gif""]","[""부유""]",[],오뚝군,,[],"[""점토도리""]",
7055,344,claydol,"[""땅"",""에스퍼""]",60,70,105,70,120,75,500,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/344.png"",""https://play.pokemonshowdown.com/sprites/ani/claydol.gif""]","[""부유""]",[],점토도리,,"[""오뚝군""]",[],
7056,345,lileep,"[""바위"",""풀""]",66,41,77,61,87,23,355,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/345.png"",""https://play.pokemonshowdown.com/sprites/ani/lileep.gif""]","[""흡반""]","[""마중물""]",릴링,,[],"[""릴리요""]",
7057,346,cradily,"[""바위"",""풀""]",86,81,97,81,107,43,495,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/346.png"",""https://play.pokemonshowdown.com/sprites/ani/cradily.gif""]","[""흡반""]","[""마중물""]",릴리요,,"[""릴링""]",[],
7058,347,anorith,"[""바위"",""벌레""]",45,95,50,40,50,75,355,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/347.png"",""https://play.pokemonshowdown.com/sprites/ani/anorith.gif""]","[""전투무장""]","[""쓱쓱""]",아노딥스,,[],"[""아말도""]",
7059,348,armaldo,"[""바위"",""벌레""]",75,125,100,70,80,45,495,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/348.png"",""https://play.pokemonshowdown.com/sprites/ani/armaldo.gif""]","[""전투무장""]","[""쓱쓱""]",아말도,,"[""아노딥스""]",[],
7060,349,feebas,"[""물""]",20,15,20,10,55,80,200,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/349.png"",""https://play.pokemonshowdown.com/sprites/ani/feebas.gif""]","[""쓱쓱"",""둔감""]","[""적응력""]",빈티나,,[],"[""밀로틱""]",
7061,350,milotic,"[""물""]",95,60,79,100,125,81,540,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/350.png"",""https://play.pokemonshowdown.com/sprites/ani/milotic.gif""]","[""이상한비늘"",""승기""]","[""헤롱헤롱바디""]",밀로틱,,"[""빈티나""]",[],
7062,351,castform,"[""노말""]",70,70,70,70,70,70,420,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/351.png"",""https://play.pokemonshowdown.com/sprites/ani/castform.gif""]","[""기분파""]",[],캐스퐁,,[],[],
7063,352,kecleon,"[""노말""]",60,90,70,60,120,40,440,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/352.png"",""https://play.pokemonshowdown.com/sprites/ani/kecleon.gif""]","[""변색""]","[""변환자재""]",켈리몬,,[],[],
7064,353,shuppet,"[""고스트""]",44,75,35,63,33,45,295,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/353.png"",""https://play.pokemonshowdown.com/sprites/ani/shuppet.gif""]","[""불면"",""통찰""]","[""저주받은바디""]",어둠대신,,[],"[""다크펫""]",
7065,354,banette,"[""고스트""]",64,115,65,83,63,65,455,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/354.png"",""https://play.pokemonshowdown.com/sprites/ani/banette.gif""]","[""불면"",""통찰""]","[""저주받은바디""]",다크펫,,"[""어둠대신""]","[""메가 다크펫""]",
7066,355,duskull,"[""고스트""]",20,40,90,30,90,25,295,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/355.png"",""https://play.pokemonshowdown.com/sprites/ani/duskull.gif""]","[""부유""]","[""통찰""]",해골몽,,[],"[""미라몽""]",
7067,356,dusclops,"[""고스트""]",40,70,130,60,130,25,455,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/356.png"",""https://play.pokemonshowdown.com/sprites/ani/dusclops.gif""]","[""프레셔""]","[""통찰""]",미라몽,,"[""해골몽""]","[""야느와르몽""]",
7068,357,tropius,"[""비행"",""풀""]",99,68,83,72,87,51,460,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/357.png"",""https://play.pokemonshowdown.com/sprites/ani/tropius.gif""]","[""엽록소"",""선파워""]","[""수확""]",트로피우스,,[],[],
7069,358,chimecho,"[""에스퍼""]",75,50,80,95,90,65,455,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/358.png"",""https://play.pokemonshowdown.com/sprites/ani/chimecho.gif""]","[""부유""]",[],치렁,,"[""랑딸랑""]","[""메가 치렁""]",
7070,359,absol,"[""악""]",65,130,60,75,60,75,465,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png"",""https://play.pokemonshowdown.com/sprites/ani/absol.gif""]","[""프레셔"",""대운""]","[""정의의마음""]",앱솔,,[],"[""메가 앱솔"",""메가 앱솔 Z""]",
7071,360,wynaut,"[""에스퍼""]",95,23,48,23,48,23,260,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/360.png"",""https://play.pokemonshowdown.com/sprites/ani/wynaut.gif""]","[""그림자밟기""]","[""텔레파시""]",마자,,[],"[""마자용""]",
7072,361,snorunt,"[""얼음""]",50,50,50,50,50,50,300,"[""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png"",""https://play.pokemonshowdown.com/sprites/ani/snorunt.gif""]","[""정신력"",""아이스바디""]","[""변덕쟁이""]",눈꼬마,,[],"[""얼음귀신"",""눈여아""]",
